// dataSetFormat = MatrixDataSetFormat
// dataSetType = SyntheticDataSetType
// dataSetFormatVersion = 1
// alias = synthetic_dendrites
// 
1	45.639	258.64
2	53.639	224.64
3	60.639	243.64
4	71	94.608
5	74.639	223.64
6	80.639	75.639
7	80.639	112.64
8	90.639	93.639
9	92.143	130.4
10	93.639	61.639
11	93.639	215.64
12	99	111.61
13	103.64	78.639
14	111.64	97.639
15	112.64	222.64
16	120.64	162.64
17	122.64	31.639
18	122.64	206.64
19	131.64	52.639
20	132.49	224.63
21	137.64	191.64
22	137.64	243.64
23	138.64	171.64
24	144.64	68.639
25	144.64	209.64
26	150.64	227.64
27	156.64	162.64
28	157.64	85.639
29	167.64	104.64
30	168.64	124.64
31	169.64	144.64
32	177.64	86.639
33	188.64	154.64
34	208.64	148.64
35	222.64	135.64
